Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q27,44.51706815205595,54.01202263032117,4.985053786019552,9.624999999999995e-2,2.146177520990944e-3,"cx27_18: 4.776e-2, cx27_26: 5.231e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q28,54.13906317607391,63.001302275029246,5.0166052902075515,1.5437499999999993e-1,9.158243560176693e-4,"cx28_21: 3.877e-2, cx28_32: 8.247e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q29,59.73278115476249,14.313933652409045,4.999535239208802,4.062499999999991e-2,1.9572677801561467e-3,"cx29_25: 7.372e-2, cx29_36: 1.019e-1",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q30,52.220073346429466,68.46889680286327,5.114277097375622,2.9625e-1,4.140171275079152e-3,"cx30_31: 3.245e-2, cx30_39: 4.915e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q31,51.58818445909915,83.59783379043746,4.963938557180804,1.6562500000000002e-1,6.819114964054518e-4,"cx31_30: 3.245e-2, cx31_32: 4.222e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q32,52.44198329108079,73.54001150832941,5.154787990234839,1.2687500000000007e-1,3.0660990761911533e-3,"cx32_28: 8.247e-2, cx32_31: 4.222e-2, cx32_33: 3.884e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q33,37.89727034162387,66.39378459574122,5.210711889410646,2.562500000000001e-2,8.467695999158642e-4,"cx33_32: 3.884e-2, cx33_34: 5.673e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q34,49.230540086620636,27.639579830770394,4.969362351040647,7.687500000000003e-2,1.501064494814186e-3,"cx34_33: 5.673e-2, cx34_35: 3.552e-2, cx34_40: 3.589e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q35,77.49596085461421,23.419272221571386,5.0461442043096625,2.7312500000000006e-1,3.0549143967432135e-3,"cx35_34: 3.552e-2, cx35_36: 6.130e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q36,51.7628908943978,18.05545415622086,5.026003637303517,1.8750000000000044e-2,3.8485880257781435e-3,"cx36_29: 1.019e-1, cx36_35: 6.130e-2, cx36_37: 5.023e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q37,46.4764851642153,41.31086128240968,5.172584510410386,1.0250000000000004e-1,1.0498578000291414e-3,"cx37_36: 5.023e-2, cx37_38: 4.948e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q38,54.41314523973374,31.418588438434472,4.909711170063129,2.0875e-1,8.675806306370215e-4,"cx38_37: 4.948e-2, cx38_41: 1.000e+0",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q39,51.66077415537577,50.777559287571094,5.053293523208908,9.999999999999998e-2,1.0468072323456257e-3,"cx39_30: 4.915e-2, cx39_42: 4.133e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q40,27.95284604619383,48.19464767796275,5.0589515446064315,1.0687500000000005e-1,1.5044907492485216e-3,"cx40_34: 1.000e+0, cx40_46: 1.000e+0",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q41,62.97806286809263,47.34771697197366,5.046676494418697,6.812499999999999e-2,1.9766811335134027e-3,"cx41_38: 1.000e+0, cx41_50: 8.731e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q42,52.07406764350568,88.06120076415768,4.994409127775834,5.125000000000002e-2,7.643832671979656e-4,"cx42_39: 4.133e-2, cx42_43: 2.428e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q43,41.55740321107238,46.65586242774711,5.0655940193453795,1.9625000000000004e-1,9.043073686201275e-4,"cx43_42: 2.428e-2, cx43_44: 4.006e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q44,75.39065821113984,55.691316623281466,4.976101515203187,1.2875000000000003e-1,8.040574592673155e-4,"cx44_43: 4.006e-2, cx44_45: 1.000e+0, cx44_51: 1.507e-1",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q45,44.46884892560586,56.966617337030165,5.089138555162547,1.5437499999999993e-1,1.0026148930836754e-3,"cx45_44: 1.000e+0, cx45_46: 1.000e+0",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q46,27.749588777514703,49.30818397830748,5.0320237946718,2.4375000000000002e-1,2.1916740944475377e-3,"cx46_40: 1.000e+0, cx46_45: 1.000e+0, cx46_47: 4.521e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q47,25.55204918418961,32.94293203008038,5.069174907380036,2.1062500000000006e-1,2.2989541114720735e-3,"cx47_46: 4.521e-2, cx47_48: 3.784e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q48,55.29546894775414,85.7703537464032,4.972811620245292,2.8750000000000053e-2,2.526928429432862e-3,"cx48_47: 3.784e-2, cx48_49: 4.781e-2, cx48_52: 6.251e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q49,46.76196498502575,45.0003928882804,5.072768688785366,3.8125e-1,1.02513841462043e-3,"cx49_48: 4.781e-2, cx49_50: 3.335e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q50,56.55676563525109,26.2738649075309,4.959328539957659,1.1687500000000006e-1,9.892201213216878e-4,"cx50_41: 8.731e-2, cx50_49: 3.335e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q51,42.73924976807392,43.022805614282646,5.129215608649972,7.437499999999997e-2,7.140191188829137e-3,"cx51_44: 1.507e-1",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
Q52,54.461675182793705,61.8562273612597,5.043557530473183,2.5812500000000005e-1,4.496596348006088e-3,"cx52_48: 6.251e-2",Mon Jul 13 2020 21:10:20 GMT+0800 (中国标准时间)
